label,lat,lng
Murat (Bari),41.1218,16.8696
San Nicola (Bari),41.12104,16.86759
Libertà (Bari),41.1213,16.8557
Madonnella,41.1206,16.8788
Japigia (Bari),41.113,16.8932
Torre a Mare,41.0856,16.9985
San Giorgio (Bari),41.0959,16.954
Picone (Bari),41.1073,16.8508
Poggiofranco,41.1035,16.8589
Carrassi,41.1068,16.8711
San Pasquale (Bari),41.1135,16.8758
Mungivacca,41.0922,16.8889
San Paolo (Bari),41.1231,16.7938
Stanic-Villaggio del Lavoratore,41.10581,16.8224
Marconi-San Girolamo-Fesca,41.1366,16.8434
Carbonara di Bari,41.075,16.8693
Ceglie del Campo,41.0643,16.8656
Loseto,41.0393,16.8475
Palese-Macchie,41.1502,16.7662
Santo Spirito-Catino-San Pio,41.1637,16.7473
